team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-1950,cap,6:15,67,75,false,true,8
08-1153,cap,5:51,145,153,false,false,8
08-0315,cap,5:53,146,154,false,false,8
08-1123,cap,3:56,134,142,false,false,8
08-0470,cap,5:51,145,153,false,false,8
08-0357,cap,5:51,163,171,false,false,8
08-1902,cap,5:57,141,149,false,false,8
08-1910,afjrotc,6:03,141,149,false,true,8
08-1134,cap,5:35,123,131,false,false,8
08-3220,afjrotc,5:45,134,154,false,false,20
08-3251,njrotc,3:08,71,79,false,false,8
08-0329,afjrotc,5:46,160,165,false,false,5
08-1903,nscc,5:07,152,165,false,false,13
08-3278,cap,5:57,118,123,false,false,5
08-3250,njrotc,4:03,71,79,false,false,8
08-0484,ajrotc,5:33,137,145,false,false,8
08-1298,njrotc,5:44,122,130,false,false,8
08-0006,cap,5:55,129,137,false,false,8
08-0942,cap,5:55,182,190,false,false,8
08-1807,afjrotc,5:26,170,178,false,false,8
08-2157,ajrotc,5:42,173,178,false,false,5
08-0211,mcjrotc,5:33,137,145,false,false,8
08-1506,afjrotc,5:26,120,128,false,false,8
08-2016,cap,5:55,165,173,false,false,8
08-0951,afjrotc,5:23,142,150,false,false,8
08-0543,cap,6:34,152,160,false,true,8
08-2172,afjrotc,5:49,113,121,false,false,8
08-2174,afjrotc,5:47,140,148,false,false,8
08-0344,cap,5:50,165,173,false,false,8
08-2675,cap,5:38,111,119,false,false,8
08-2380,cap,4:30,129,137,false,false,8
08-3408,cap,2:26,38,46,false,false,8
08-0265,nscc,3:49,171,179,false,false,8
08-2382,cap,3:51,49,57,false,false,8
08-1049,nscc,5:45,142,150,false,false,8
08-2279,cap,2:46,26,34,false,false,8
08-1048,nscc,5:52,127,135,false,false,8
08-2416,cap,5:59,168,176,false,false,8
08-2737,cap,3:30,80,88,false,false,8
08-1846,njrotc,5:35,163,171,false,false,8
08-1825,ajrotc,5:49,157,165,false,false,8
08-0607,cap,5:51,126,134,false,false,8
08-3321,njrotc,5:52,104,112,false,false,8
08-1383,afjrotc,4:57,138,146,false,false,8
08-0934,afjrotc,7:53,152,160,false,true,8
08-1005,cap,6:01,135,143,false,true,8
